שם הארגון,סוג הארגון,תחום השירות העיקרי,Value
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,ג'וינט אשל
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,"מרכז מינרבה לזכויות אדם (אוניברסיטת ת""א)"
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,משרד הבריאות
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,קופות החולים (כללי)
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,קופת חולים כללית
NA,משקיע,NA,NA
NA,משקיע,NA,אגף הגריאטריה במשרד הבריאות
NA,משקיע,אחר:,NA
NA,משרד ממשלתי,NA,NA
NA,משרד ממשלתי,NA,אגף הגריאטריה במשרד הבריאות
NA,משרד ממשלתי,אחר:,NA
NA,משרד ממשלתי,הפגת בדידות,NA
NA,משרד ממשלתי,הפגת בדידות,אגף הגריאטריה במשרד הבריאות
NA,משרד ממשלתי,סיעוד,NA
NA,משרד ממשלתי,סיעוד,אגף הגריאטריה במשרד הבריאות
NA,משרד ממשלתי,שיקום,NA
NA,מתנדב,ניצולי שואה,NA
NA,מתנדב,ניצולי שואה,אגף הגריאטריה במשרד הבריאות
NA,מתעניין/ת בתחום,NA,NA
NA,מתעניין/ת בתחום,NA,אגף הגריאטריה במשרד הבריאות
NA,מתעניין/ת בתחום,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
NA,מתעניין/ת בתחום,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,אגף הגריאטריה במשרד הבריאות
NA,מתעניין/ת בתחום,אוריינות דיגיטלית,NA
NA,מתעניין/ת בתחום,אחר:,NA
NA,מתעניין/ת בתחום,אחר:,אגף הגריאטריה במשרד הבריאות
NA,מתעניין/ת בתחום,אחר:,ג'וינט אשל
NA,מתעניין/ת בתחום,אחר:,עמותת עמדא
NA,מתעניין/ת בתחום,אחר:,צבר רפואה
NA,מתעניין/ת בתחום,בריאות הנפש,NA
NA,מתעניין/ת בתחום,בריאות הנפש,אגף הגריאטריה במשרד הבריאות
NA,מתעניין/ת בתחום,בריאות הנפש,אקדמיה (כללי)
NA,מתעניין/ת בתחום,גילנות,NA
NA,מתעניין/ת בתחום,הפגת בדידות,NA
NA,מתעניין/ת בתחום,הפגת בדידות,"מירב כהן, השרה לשוויון חברתי"
NA,מתעניין/ת בתחום,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
NA,מתעניין/ת בתחום,סיעוד,NA
NA,מתעניין/ת בתחום,עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,NA
NA,סטארט אפ,NA,NA
NA,סטארט אפ,NA,אגף הגריאטריה במשרד הבריאות
NA,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
NA,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,אגף הגריאטריה במשרד הבריאות
NA,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,משרדי הממשלה (כללי)
NA,סטארט אפ,אחר:,NA
NA,סטארט אפ,הפגת בדידות,NA
NA,סטארט אפ,הפגת בדידות,Social Finance Israel
NA,סטארט אפ,הפגת בדידות,TARASA
NA,סטארט אפ,הפגת בדידות,ג'וינט אשל
NA,סטארט אפ,הפגת בדידות,דורות
NA,סטארט אפ,הפגת בדידות,הרשויות המקומיות (כללי)
NA,סטארט אפ,הפגת בדידות,התאחדות הסטודנטים
NA,סטארט אפ,מניעת נפילות,Balanseat by Mopair
NA,סטארט אפ,מניעת נפילות,NA
NA,סטארט אפ,מניעת נפילות,"ארגון ""יד שרה"""
NA,סטארט אפ,מניעת נפילות,דיור מוגן (כללי)
NA,סטארט אפ,מניעת נפילות,עמל ומעבר
NA,סטארט אפ,נגישות לשירותים,NA
NA,סטארט אפ,ניהול פיננסי/אוריינות פיננסית,isavta.co.il
NA,סטארט אפ,ניהול פיננסי/אוריינות פיננסית,NA
NA,סטארט אפ,תעסוקה,NA
NA,סטארט אפ,תעסוקה,ג'וינט אשל
NA,עסק פרטי,NA,NA
NA,עסק פרטי,אחר:,NA
NA,פסיכולוגית התפתחותית,בריאות הנפש,NA
NA,"פסיכותרפיסטית מומחית זיקנה, מרצה, מדריכה, מנחת קבוצות",בריאות הנפש,אגף הגריאטריה במשרד הבריאות
NA,"פסיכותרפיסטית מומחית זיקנה, מרצה, מדריכה, מנחת קבוצות",בריאות הנפש,האגודה הישראלית לגרונטולוגיה
NA,"פסיכותרפיסטית מומחית זיקנה, מרצה, מדריכה, מנחת קבוצות",בריאות הנפש,פרופסור איסי דורון
NA,קרן השקעות,אחר:,NA
NA,רשות מקומית/מועצה איזורית,NA,NA
NA,רשות מקומית/מועצה איזורית,NA,אגף הגריאטריה במשרד הבריאות
NA,רשות מקומית/מועצה איזורית,אחר:,NA
NA,רשות מקומית/מועצה איזורית,אחר:,אגף הגריאטריה במשרד הבריאות
NA,רשות מקומית/מועצה איזורית,אחר:,המוסד לביטוח לאומי
NA,רשות מקומית/מועצה איזורית,אחר:,משרד האוצר
NA,רשות מקומית/מועצה איזורית,אחר:,משרד העבודה והרווחה
NA,רשות מקומית/מועצה איזורית,גילנות,NA
NA,רשות מקומית/מועצה איזורית,הפגת בדידות,NA
NA,רשות מקומית/מועצה איזורית,הפגת בדידות,אגף הגריאטריה במשרד הבריאות
NA,רשות מקומית/מועצה איזורית,הפגת בדידות,הלב – איגוד העמותות לזקן בישראל
NA,רשות מקומית/מועצה איזורית,הפגת בדידות,קופות החולים (כללי)
NA,רשות מקומית/מועצה איזורית,נגישות לשירותים,NA
NA,רשות מקומית/מועצה איזורית,נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
NA,רשות מקומית/מועצה איזורית,נגישות לשירותים,המשרד לשוויון חברתי
NA,רשות מקומית/מועצה איזורית,נגישות לשירותים,משרד העבודה והרווחה
NA,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
NA,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
NA,רשות מקומית/מועצה איזורית,סיעוד,NA
natalu,חברה מסחרית - תחום עסקי אחר,אחר:,NA
prdigital,אחר:,אחר:,NA
prdigital,אחר:,אחר:,"מירב כהן, השרה לשוויון חברתי"
prdigital,עסק פרטי,אחר:,NA
prdigital,עסק פרטי,אחר:,"מירב כהן, השרה לשוויון חברתי"
savionkfs.org,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
savionkfs.org,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
Senior maeket,חברה מסחרית - תחום עסקי אחר,אחר:,אירה ליפצקי
Senior maeket,חברה מסחרית - תחום עסקי אחר,אחר:,הילה ליבאי
Senior maeket,חברה מסחרית - תחום עסקי אחר,אחר:,ישי קום
SenterCare,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
SenterCare,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,SenterCare
SenterCare,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,נטלי שירותי רפואה
Silver Tech,סטארט אפ,אחר:,NA
Silver Tech,סטארט אפ,אחר:,משרד העבודה והרווחה
Social Finance Israel,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
Social Finance Israel,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,עמותת מטב
Social Finance Israel,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,"עמותת קלי""ק הוד השרון"
Spartans AI,חברה מסחרית - תחום עסקי אחר,סיעוד,NA
Startup Nation Central,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
Startup Nation Central,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
Startup Nation Central,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרד הפנים
TA'AL,סטארט אפ,אוריינות בריאותית/ניהול בריאותי/אורח חיים בריא,NA
TA'AL,סטארט אפ,אוריינות בריאותית/ניהול בריאותי/אורח חיים בריא,אגף הגריאטריה במשרד הבריאות
TARASA,סטארט אפ,הפגת בדידות,ג'וינט אשל
TARASA,סטארט אפ,הפגת בדידות,המשרד לשוויון חברתי
TARASA,סטארט אפ,הפגת בדידות,קרנות הביטוח הלאומי
TechBuddy,סטארט אפ,אוריינות דיגיטלית,NA
TechBuddy,סטארט אפ,אוריינות דיגיטלית,ישראל דיגיטלית
temi - The Personal Robot,סטארט אפ,הפגת בדידות,NA
temi - The Personal Robot,סטארט אפ,הפגת בדידות,עמותת מטב
themis-care,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
themis-care,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
tim thinking  in moition,אחר:,שיקום,NA
tim thinking  in moition,עסק פרטי,שיקום,NA
TIM אימון מוטורי-קוגניטיבי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,NA
Uniper,גרונטולוג,הפגת בדידות,NA
Uniper,גרונטולוג,הפגת בדידות,פרופסור איסי דורון
Uniper,סטארט אפ,אחר:,NA
Uniper,סטארט אפ,אחר:,משרד העבודה והרווחה
Uniper,סטארט אפ,אחר:,פרופסור איסי דורון
Uniper,סטארט אפ,אחר:,קופות החולים (כללי)
UP2DO,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
Vayyar,סטארט אפ,מניעת נפילות,NA
Vayyar,סטארט אפ,מניעת נפילות,המוסד לביטוח לאומי
Vayyar,סטארט אפ,מניעת נפילות,משרד הבריאות
Vini Yoga 4U,אחר:,אחר:,NA
Vini Yoga 4U,אחר:,אחר:,ג'וינט אשל
Vini Yoga 4U,עסק פרטי,אחר:,NA
Vini Yoga 4U,עסק פרטי,אחר:,ג'וינט אשל
vive,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
vive,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,מגדלי הים התיכון
walk ai,סטארט אפ,מניעת נפילות,NA
walk ai,סטארט אפ,מניעת נפילות,ג'וינט אשל
Watch My Health - WMH,סטארט אפ,מניעת נפילות,"ארגון ""יד שרה"""
Watch My Health - WMH,סטארט אפ,מניעת נפילות,מסגרות לדיור מוגן (כללי)
Watch My Health - WMH,סטארט אפ,מניעת נפילות,עמל ומעבר
wecaie,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
Zoog.ai,סטארט אפ,אחר:,NA
א.ב.א - איגוד בתי אבות ודיור מוגן בישראל,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,א.ב.א - איגוד בתי אבות ודיור מוגן בישראל
א.ב.א - איגוד בתי אבות ודיור מוגן בישראל,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,יריב מן -  סמנכל משרד העבודה והרווחה
א.ב.א - איגוד בתי אבות ודיור מוגן בישראל,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,"מירב כהן, השרה לשוויון חברתי"
אגף הגריאטריה במשרד הבריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
אגף הגריאטריה במשרד הבריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
אדמ אגודה לדיור משותף,אגודה רשומה ללא רווח,אחר:,NA
אדמ אגודה לדיור משותף,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
אדמ אגודה לדיור משותף,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,דוד קורץ
אדמ אגודה לדיור משותף,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,הרשות למקרקעי ישראל
אדמ אגודה לדיור משותף,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,קרן הורוביץ
אדמ אגודה לדיור משותף,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
אהד דורון - ipack | המחשת רעיון,סטארט אפ,מניעת נפילות,NA
אוניברסיטת בן גוריון,מכון אקדמי/מחקר,אחר:,NA
אוניברסיטת בן גוריון,מכון אקדמי/מחקר,אחר:,מכון ברוקדייל
אוניברסיטת בר אילן,מכון אקדמי/מחקר,אחר:,NA
אוניברסיטת בר אילן,מכון אקדמי/מחקר,אחר:,המשרד לשוויון חברתי
אוניברסיטת בר אילן,מכון אקדמי/מחקר,גילנות,NA
אוניברסיטת בר אילן,מכון אקדמי/מחקר,גילנות,ג'וינט אשל
אוניברסיטת חיפה,מכון אקדמי/מחקר,אחר:,NA
אוניברסיטת חיפה,מכון אקדמי/מחקר,אחר:,ג'וינט אשל
אוניברסיטת חיפה,מתעניין/ת בתחום,שיקום,ג'וינט אשל
אוניברסיטת חיפה,מתעניין/ת בתחום,שיקום,האגודה הישראלית לגרונטולוגיה
אוניברסיטת חיפה,מתעניין/ת בתחום,שיקום,קהילת AgingIL
אוניברסיטת תל אביב,מכון אקדמי/מחקר,אחר:,NA
אוניברסיטת תל אביב,מכון אקדמי/מחקר,אחר:,ארגון דור לדור
אוניברסיטת תל אביב,מכון אקדמי/מחקר,אחר:,"גרי רוט (מנכ""ל עמדא לשעבר)"
אוניברסיטת תל אביב,מכון אקדמי/מחקר,אחר:,"פרויקט ""עידן חדש"" אג""ח חברתי"
אוניברסיטת תל אביב,מכון אקדמי/מחקר,אחר:,קהילה תומכת לאזרחים ותיקים (תוכנית)
אורבן ארט,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,NA
אורבן ארט,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,ג'וינט אשל
אורבן ארט,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,עיריית תל אביב
אחוות הדורות,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
אחוות הדורות,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המרחב ליזמות 60+-
אחוות הדורות,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,מגדלי הים התיכון
אחוזת החורף,אחר:,סיעוד,NA
אחוזת החורף,אחר:,סיעוד,"ד""ר דנה פאר"
אחוזת החורף,חברה פרטית,סיעוד,NA
אחוזת החורף,חברה פרטית,סיעוד,"ד""ר דנה פאר"
איגוד הלב,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
איגוד הלב,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרד הבריאות
איגוד הלב,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרד העבודה והרווחה
"איילה - א.מ. סיעוד בע""מ",חברה מסחרית - תחום עסקי אחר,סיעוד,NA
"איילה - א.מ. סיעוד בע""מ",חברה מסחרית - תחום עסקי אחר,סיעוד,אגף הגריאטריה במשרד הבריאות
אמץ סבא,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
אמץ סבא,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
אמץ סבא,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,הרשויות המקומיות (כללי)
אסתי  רז - הנחיית קבוצות,אחר:,ירידה קוגנטיבית ודמנציה,NA
אסתי  רז - הנחיית קבוצות,אחר:,ירידה קוגנטיבית ודמנציה,המשרד לשוויון חברתי
אסתי  רז - הנחיית קבוצות,טיפולי,ירידה קוגנטיבית ודמנציה,NA
אסתי  רז - הנחיית קבוצות,טיפולי,ירידה קוגנטיבית ודמנציה,המשרד לשוויון חברתי
אפשר,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,NA
אצולת בית העמק,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,א.ב.א - איגוד בתי אבות ודיור מוגן בישראל
אצולת בית העמק,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,אגף הגריאטריה במשרד הבריאות
אצולת בית העמק,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,ג'וינט אשל
"ארגון ""יד שרה""","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,הלב – איגוד העמותות לזקן בישראל
"ארגון ""יד שרה""","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,המוסד לביטוח לאומי
"ארגון ""יד שרה""","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,המשרד לשוויון חברתי
"ארגון ""יד שרה""",מתעניין/ת בתחום,מניעת נפילות,אגף הגריאטריה במשרד הבריאות
"ארגון ""יד שרה""",מתעניין/ת בתחום,מניעת נפילות,ג'וינט אשל
"ארגון ""יד שרה""",מתעניין/ת בתחום,מניעת נפילות,המוסד לביטוח לאומי
ארגון מעוז,סטארט אפ,אחר:,NA
ארגון מעוז,סטארט אפ,אחר:,ג'וינט אשל
ארגון מעוז,סטארט אפ,אחר:,עמותת מטב
ארגון פעמונים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול פיננסי/אוריינות פיננסית,NA
ארגון פעמונים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול פיננסי/אוריינות פיננסית,ג'וינט אשל
ארגון פעמונים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול פיננסי/אוריינות פיננסית,"מירב כהן, השרה לשוויון חברתי"
ארגון פעמונים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
ארגון פעמונים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,חמישיית זהו זה
ארגון פעמונים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,"מירב כהן, השרה לשוויון חברתי"
אשכול הנגב המערבי,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
אשכול הנגב המערבי,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
אשכול רשויות יהודה ושומרון,אשכול רשויות מקומיות,נגישות לשירותים,NA
אשכול רשויות יהודה ושומרון,משרד ממשלתי,אחר:,NA
אשכול רשויות יהודה ושומרון,משרד ממשלתי,אחר:,ג'וינט אשל
אשכול רשויות יהודה ושומרון,רשות מקומית/מועצה איזורית,נגישות לשירותים,NA
אתי גפן - יעוץ לשירותי רווחה,אחר:,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
אתי גפן - יעוץ לשירותי רווחה,אחר:,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
אתי גפן - יעוץ לשירותי רווחה,ייעוץ לשירותי הרווחה,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
אתי גפן - יעוץ לשירותי רווחה,ייעוץ לשירותי הרווחה,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
אתר-גיל השלישי,גרונטולוג,נגישות לשירותים,NA
אתר-גיל השלישי,גרונטולוג,נגישות לשירותים,ג'וינט אשל
אתר-גיל השלישי,גרונטולוג,נגישות לשירותים,פרופסור איסי דורון
באים לטוב - המערך הלאומי להתנדבות ותיקים,"החברה למתנ""סים",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה, מ.ת.ג - מחברים תוכן לגמלאים
באים לטוב - המערך הלאומי להתנדבות ותיקים,"החברה למתנ""סים",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
באים לטוב - המערך הלאומי להתנדבות ותיקים,"החברה למתנ""סים",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,"החברה למתנ""סים"
באים לטוב - המערך הלאומי להתנדבות ותיקים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה, מ.ת.ג - מחברים תוכן לגמלאים
באים לטוב - המערך הלאומי להתנדבות ותיקים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
באים לטוב - המערך הלאומי להתנדבות ותיקים,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,"החברה למתנ""סים"
ביג טיים,חברה מסחרית - תחום עסקי אחר,אחר:,NA
בית אבות בראט כרמיאל,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,אגף הגריאטריה במשרד הבריאות
בית אבות בראט כרמיאל,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,הרשויות המקומיות (כללי)
בית אבות בראט כרמיאל,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,חברות סטארט אפ (כללי)
בית אבות הספרדי חיפה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,NA
בית אבות הספרדי חיפה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",סיעוד,עמותת מטב
בית אבות מול כרמל,חברה מסחרית - בתי אבות,סיעוד,אגף הגריאטריה במשרד הבריאות
בית אבות מול כרמל,חברה מסחרית - בתי אבות,סיעוד,גופי תקשורת (כללי)
בית אבות מול כרמל,חברה מסחרית - בתי אבות,סיעוד,משרד האוצר
"בית אבות נווה גל, שכונת גילה, ירושלים",חברה מסחרית - בתי אבות,סיעוד,אגף הגריאטריה במשרד הבריאות
"בית אבות נווה גל, שכונת גילה, ירושלים",חברה מסחרית - בתי אבות,סיעוד,משרד הבריאות
"בית אבות נווה גל, שכונת גילה, ירושלים",חברה מסחרית - בתי אבות,סיעוד,משרד העבודה והרווחה
בית איזי שפירא,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,NA
בית איזי שפירא,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
בית איזי שפירא,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
בית איזי שפירא,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרד הבריאות
בית איזי שפירא,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרד העבודה והרווחה
בית בכפר,חברה מסחרית - בתי אבות,אחר:,NA
בית בכפר,חברה מסחרית - בתי אבות,אחר:,ג'וינט אשל
בית בכפר,חברה מסחרית - דיור מוגן,אחר:,NA
בית בכפר,חברה מסחרית - דיור מוגן,אחר:,ג'וינט אשל
בית בלב,חברה מסחרית - בתי אבות,אחר:,NA
בית בלב,חברה מסחרית - בתי אבות,אחר:,א.ב.א - איגוד בתי אבות ודיור מוגן בישראל
בית בלב,חברה מסחרית - בתי אבות,אחר:,משרד העבודה והרווחה
בית גיל הזהב מוריה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,"ד""ר זיאד דבור"
בית גיל הזהב מוריה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,סעיד חיר
בית גיל הזהב מוריה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,ענת אלחג
בית הדר,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
בית הדר,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,המוסד לביטוח לאומי
בית הדר,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרד האוצר
בית הורים רחל ליצ'ק,חברה מסחרית - בתי אבות,סיעוד,NA
בית הורים רחל ליצ'ק,חברה מסחרית - בתי אבות,סיעוד,ג'וינט אשל
בית חולים בית רבקה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,NA
בית חולים בית רבקה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,חברים לעת זקנה (תוכנית - עמותת מטב)
בית חולים בית רבקה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,עמותת עמדא
בית חולים סורוקה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
בית חולים סורוקה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,מרכזי אפ 60 (ג'וינט אשל)
בית חולים סורוקה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,קהילה תומכת לאזרחים ותיקים (תוכנית)
בית חולים סיעודי ארבל קבוצת מוריה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),סיעוד,NA
בית חולים סיעודי ארבל קבוצת מוריה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),סיעוד,ג'וינט אשל
בית חולים שמואל הרופא,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,NA
בית פרוטיאה,גרונטולוג,סיעוד,NA
בן דוד נדלן,אחר:,אחר:,NA
בן דוד נדלן,עוסק בשירות לגיל השלישי בתחום הנדלן,אחר:,NA
בניחותא,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
בניחותא,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,NA
בשיבה בריאה,אחר:,עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,NA
בשיבה בריאה,חברה פרטית,עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,NA
גבורות לזיקנה מיטבית,גרונטולוג,ירידה קוגנטיבית ודמנציה,NA
גבורות לזיקנה מיטבית,גרונטולוג,ירידה קוגנטיבית ודמנציה,אגף הגריאטריה במשרד הבריאות
גבורות לזקנה מיטבית,אחר:,אחר:,אביב לניצולי השואה
גבורות לזקנה מיטבית,אחר:,אחר:,ג'וינט אשל
גבורות לזקנה מיטבית,אחר:,אחר:,עמותת עמדא
גבורות לזקנה מיטבית,עסק פרטי,אחר:,אביב לניצולי השואה
גבורות לזקנה מיטבית,עסק פרטי,אחר:,ג'וינט אשל
גבורות לזקנה מיטבית,עסק פרטי,אחר:,עמותת עמדא
ג'וינט אשל,חלט,אחר:,NA
ג'וינט אשל,חלט,אחר:,ג'וינט אשל
ג'וינט אשל,חלט,אחר:,משרד הבריאות
ג'וינט אשל,חלצ,אחר:,NA
ג'וינט אשל,חלצ,אחר:,הרשויות המקומיות (כללי)
ג'וינט אשל,חלצ,אחר:,משרדי הממשלה (כללי)
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,NA
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,ג'וינט אשל
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,הרשויות המקומיות (כללי)
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרד הבריאות
ג'וינט אשל,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,משרדי הממשלה (כללי)
